time,title,content,href
2018/03/21 12:18,반려묘 전용 펫푸드 잇따라 출시… 생활 습성부터 건강까지 고려해,"""우리집 반려묘에게 무엇을 먹여야할까.."" 고민하는 보호자들에게는 골칫거리가 더 늘어났다. 고양이의 생활습성부터 건강까지 생각한 반려묘 전용 펫푸드가 잇따라 출시된다. 이럴때일수록 보호자가 할 일은 반려묘에게 알맞은 펫푸드가 무엇인지 더욱 꼼꼼히 찾...",http://www.koreadognews.co.kr/news/view.php?no=1525
2018/02/28 10:08,"노즈워크 무독성 강아지 장난감 ""본펫"" 출시",반려동물 토털서비스 주베베가 무독성 노즈워크 장난감 ‘본펫’(Bonpet)을 선보인다. 본펫은 노즈워크가 가능한 장난감으로 제품의 구멍에 간식과 사료를 넣어 놀이와 후각 활동을 동시에 즐길 수 있도록 고안됐다. 고무와 플라스틱의 중간 형태인 TPR(Thermo P...,http://www.koreadognews.co.kr/news/view.php?no=1510
2018/02/08 22:59,"반려동물 털과의 전쟁, 드라이할때는 드라이한방..",애견문화가 커지면서 가정에서 직접 애견을 목욕시키고 말리는 인구도 늘어나고 있다. 대부분의 애견인들은 목욕보다 털을 말리는게 더 힘이 들고 뒷정리도 불편할뿐더러 여러장의 타올을 소비해야하는 불편을 감수해야한다. 최근 애견들의 털을 말리는데 경제적이고 효...,http://www.koreadognews.co.kr/news/view.php?no=1492
2018/02/01 17:30,"홈플러스, 휴먼 그레이드 펫푸드 ‘굿밸런스’ 6종 출시",홈플러스가 채널A와 손잡고 반려동물 펫푸드 시장에 도전장을 내민다고 1일 밝혔다. 홈플러스가 선보이는 프리미엄 펫푸드 ‘굿밸런스’는 ‘개밥주는 남자 시즌2’에 출연중인 최현석 셰프와 반려견 뚜이를 모델로 앞세웠다. ‘굿밸런스’는 휴먼 그레이드(H...,http://www.koreadognews.co.kr/news/view.php?no=1484
2018/02/01 16:44,"동원F&B, 반려동물 영양간식 ‘뉴트리플랜 고메트릿’ 5종 출시",동원F&amp;B의 펫푸드 전문 브랜드 ‘뉴트리플랜’이 횟감용 참치를 넣어 만든 영양간식 ‘뉴트리플랜 고메트릿’ 5 종을 출시한다. 홍삼·한우 등 고급 원료를 담은 특색 있는 펫푸드가 출시되고 있는 가운데 고급 수산 식품인 횟감용 참치로 만든 제품은 이번이 처...,http://www.koreadognews.co.kr/news/view.php?no=1481
2018/01/24 11:49,반려묘의 습성까지 생각한 이동장 ‘로캣펫 캐리어’,"반려동물 제품 디자인 스타트업인 ‘로캣디자인’이 고양이에 최적화된 이동장 ‘로캣펫 캐리어’(Rocatpet Carrier)를 선보인다. ‘로캣펫 캐리어’는 고양이의 습성이나 환경에 최적화된 이동장으로 고안됐으며, 고양이에게 숨을 수 있는 은신처 공간을 제공하...",http://www.koreadognews.co.kr/news/view.php?no=1458
2018/01/24 11:41,"네코젠, 젠틀바바 4종 고양이 모래 신상품 출시",고양이 용품 전문업체인 네코젠이 반려묘 모래 ‘젠틀바바’ 신상품 4종을 선보인다. 젠틀바바 시리즈는 미국 와이오밍주의 천연 벤토나이트를 이용해 제작한 모래로 오렌지 크리스탈과 제오라이트를 더해 강력한 흡수력을 자랑한다는 점이 특징이다. 공업용...,http://www.koreadognews.co.kr/news/view.php?no=1457
2018/01/24 11:30,"울지마마이펫, 딸기추출물 함유한 ‘만능치카치약 딸기’ 출시","울지마마이펫이 딸기추출물을 함유한 반려동물 전용 치약 ‘만능치카치약 딸기’를 선보인다. 동물 전용 치약인 ‘만능치카치약 딸기’는 비타민C 성분이 풍부한 딸기추출물 10,000ppm 함유을 통해 치아 변색을 일으키는 플라그를 효과적으로 케어하고, 씻어내...",http://www.koreadognews.co.kr/news/view.php?no=1456
2018/01/16 17:18,"울지마마이펫, 반려견 구취제거제 ‘개그린’ 출시",반려동물 전문기업 울지마마이펫이 반려견 구취 제거를 도와주는 강아지 전용 구강 청결제 ‘개그린’을 출시한다. 신제품 ‘개그린’은 [사과수+사과추출물]을 함유한 식품첨가물을 베이스로 구취 제거에 탁월한 폴리페놀과 옥시데이즈를 다량 포함해 동물 ...,http://www.koreadognews.co.kr/news/view.php?no=1440
2018/01/02 14:21,"다이소, 신년맞이 강아지 캐릭터 이용한 ‘복댕이 선물 시리즈’ 출시","균일가 생활용품숍 다이소가 2018년 황금개띠 해를 맞아 ‘황금 복댕이 시리즈’ 24종을 출시한다. 다이소 황금 복댕이 시리즈는 긍정적이고 마냥 밝은 주인공 황금빛 진돗개 복댕이와 복댕이의 친구로 수줍음이 많은 삽살견 복실이, 과묵하고 무뚝뚝한 시골 강...",http://www.koreadognews.co.kr/news/view.php?no=1399
2017/11/01 15:56,"건국유업, 반려동물 전용우유 ‘닥터케이 펫밀크’ 출시",건국유업 생활건강이 반려동물 전용우유 ‘프로젝트 닥터케이 펫밀크’를 출시한다. 건국대학교와 산합협력을 통해 연구개발한 ‘프로젝트 닥터케이 펫밀크’는 건국우유의 원유 품질 최고 등급(세균 수 기준)의 1A원유만을 사용해 반려동물이 안심하고 먹을...,http://www.koreadognews.co.kr/news/view.php?no=1263
2017/11/01 14:20,"동원F&B, 고양이를 위한 펫푸드 ‘뉴트리플랜 그레인프리’ 신제품 출시","동원F&amp;B가 고양이를 위한 펫푸드 ‘뉴트리플랜 그레인프리’ 3종을 새롭게 선보인다. ‘뉴트리플랜 그레인프리’는 無(무)곡물(그레인프리), 無글루텐 건사료로, 강화된 동물성 단백질을 통해 반려묘의 건강을 지켜줄 수 있는 제품이다. 고양이는 생...",http://www.koreadognews.co.kr/news/view.php?no=1262
2017/10/25 12:04,"하림펫푸드, ‘더:리얼 그레인프리’ 라인 출시…합리적인 가격대로 소비",하림펫푸드가 펫푸드 ‘더:리얼’의 후속작으로 ‘그레인프리’ 라인을 새롭게 출시한다. 사람이 먹을 수 있는 식재료로 만든 100% 휴먼그레이드 제품으로 각광받고 있는 하림펫푸드가 이번 그레인프리 후속작을 통해 반려동물 보호자들의 사료 선택에 영향을 줄 ...,http://www.koreadognews.co.kr/news/view.php?no=1235
2017/10/19 15:50,"KGC인삼공사, 반려견 건강간식 ‘지니펫 더스낵’ 4종 출시","KGC인삼공사가 프리미엄 반려견 건강간식 ’지니펫 더스낵‘ 4종을 선보인다. ‘지니펫 더스낵’은 프랑스산 치즈와 청정 호주산 소고기 등 엄선된 원료에 정관장 6년근 홍삼성분을 더해 만든 프리미엄 건강간식으로, 미국 FDA에 등록된 사료시설에서 식품 수...",http://www.koreadognews.co.kr/news/view.php?no=1227
2017/10/18 11:21,"울지마마이펫, 반려동물 귀 관리 위한 ‘만능이어클리너’ 출시","반려동물 전문기업 울지마마이펫이 반려동물의 귀 관리를 도와주는 ‘만능이어클리너’를 출시한다. 이번 신제품은 향균 효과가 있는 로즈마리 자매[로즈마리수, 로즈마리꽃추출물]를 함유해 반려동물 귓속의 각종 노폐물을 깨끗하게 세정해줌으로써 가려움...",http://www.koreadognews.co.kr/news/view.php?no=1219
2017/10/17 15:26,"고양이 사료 뉴트로, ‘청정 자연식’ 컨셉으로 리뉴얼 출시",내추럴사료 브랜드 뉴트로(Nutro)의 반려묘용 건사료가 새롭게 태어난다. 뉴트로가 ‘청정 자연식’을 컨셉으로 브랜드를 리뉴얼하고 브랜드명과 패키지 디자인을 변경한다고 밝혔다. 뉴트로의 ‘청정 자연식’ 컨셉은 원료 채택부터 공급 및 제조 과정까지 자...,http://www.koreadognews.co.kr/news/view.php?no=1214
2017/09/27 09:12,"퍼피랑키티랑, 기능성 건강 간식 & 디탱클러 신제품 출시","반려동물제품 판매 및 유통 전문기업 퍼피랑키티랑이 기능성 건강 간식 ‘프로바이오펫츄’와 트리트먼트 에센스 ‘샤이닝펫’을 선보인다. ‘프로바이오펫츄’는 유산균을 함유한 기능성 개껌 간식으로 반려견의 면역력증진, 장이 약해 설사나 변비가 심...",http://www.koreadognews.co.kr/news/view.php?no=1178
2017/09/21 10:31,"웰츠, 반려동물 위한 신제품 4종으로 사료 라인업 확대","프리미엄 펫 사료 브랜드 웰츠(Wealtz)가 반려견‧반려묘를 위한 신제품 사료 4종을 선보인다. 웰츠는 기존 슈퍼푸드를 포함한 휴먼그레이드 원료를 이용한 웰츠 퍼피, 어덜트, 시니어 등의 반려견 제품과 키튼, 어덜트캣, 올라이프캣 등의 반려묘 제품, 공통으로...",http://www.koreadognews.co.kr/news/view.php?no=1170
2017/09/05 12:11,"물 없이 샤워를?…울지마마이펫, 반려동물 ‘만능워터리스샴푸’ 출시",라벨영이 론칭한 반려동물 브랜드 ‘울지마마이펫’이 물 한 방울 없이도 뿌리고 닦아 주기만 하면 반려동물의 오염과 악취를 간단하게 해결할 수 있는 ‘만능워터리스샴푸’를 출시했다. 울지마마이펫의 ‘만능워터리스샴푸’는 스프레이 타입으로 저자극...,http://www.koreadognews.co.kr/news/view.php?no=1157
2017/08/28 12:17,"동원F&B, 고양이 하루 영양 꽉 채운 습식캔 ‘뉴트리플랜 스페셜데이’ 출시","동원F&amp;B가 반려묘의 건강을 위한 습식캔 ‘뉴트리플랜 스페셜데이’ 3종을 선보인다. ‘뉴트리플랜 스페셜데이’는 고양이가 하루 동안 먹었을 때 필요한 영양소와 수분을 적절하게 섭취할 수 있도록 개발된 습식캔 제품으로 ‘든든한 아침’, ‘건강한...",http://www.koreadognews.co.kr/news/view.php?no=1147
2017/08/28 11:21,"울지마마이펫, 구취 및 치석 제거 위한 ‘만능치카치약’ 출시",펫스킨케어 전문 브랜드 울지마마이펫(대표 김화영)이 반려동물의 치석제거와 충치 예방을 위한 ‘만능치카치약’을 새롭게 선보인다. 울지마마이펫의 ‘만능치카치약’은 동물 입안 특유의 구취 제거는 물론 반려동물의 치석을 말끔히 제거해 충치 예방...,http://www.koreadognews.co.kr/news/view.php?no=1146
2017/08/17 17:55,"티몬, 자체브랜드 고양이 펫푸드 ‘모찌네간식’ 출시",티몬이 반려인의 비용 부담을 낮출 수 있는 고양이 PB(자체브랜드) 상품 ‘모찌네간식’을 출시했다고 16일 밝혔다. 티몬은 지난 2013년 복희네 배변패드를 시작으로 반려동물 PB 상품을 출시해왔다. 티몬의 대표적인 PB 상품인 고양이 모래 ‘모찌네모래’는 소...,http://www.koreadognews.co.kr/news/view.php?no=1138
2017/08/02 18:27,"그리니즈, 제품 패키지 디자인 변경으로 ‘덴탈껌’ 이미지 부각",한국마즈가 유통 및 판매하는 반려동물 덴탈껌 ‘그리니즈’가 제품 포장 디자인을 변경하며 한층 세련된 제품으로 고객들을 만난다. 칫솔 모양의 초록색 껌으로 유명한 반려동물 덴탈껌 ‘그리니즈’가 제품 패키지 디자인이 변경된다. 마즈 관계자는 “제...,http://www.koreadognews.co.kr/news/view.php?no=1126
2017/08/02 18:21,"사료가 아닌 ‘요리’…웰니스, 반려견 건강식 ‘쁘디 앙뜨레’ 출시",유한양행 웰니스가 반려견 전용 습식사료 ‘쁘띠 앙뜨레’를 선보인다. 쁘띠 앙뜨레는 ‘반려견을 위한 작은 요리’라는 뜻으로 사료가 아닌 ‘요리’라는 명칭을 붙일만큼 반려견을 위한 최상의 영양만을 함유했다. 쁘띠 앙뜨레는 반려견들의 건강을 ...,http://www.koreadognews.co.kr/news/view.php?no=1125
2017/08/02 18:19,"카길, 150년 노하우 담은 원데이케어 건사료 및 덴탈껌 라인 출시",㈜카길애그리퓨리나가 150년 카길의 노하우를 담은 원데이케어 건사료와 뉴트리션 덴탈껌 라인을 새롭게 선보인다. 이번에 새롭게 선보이는 펫푸드 ‘원데이케어 데일리 밀’은 무곡물 그레인프리 제품으로 반려견에게 필요한 모든 영양소를 한번에 담아낸 것...,http://www.koreadognews.co.kr/news/view.php?no=1124
2017/08/02 18:17,"네이쳐아일랜드, 반려동물 전용 탈취제 ‘블루센스’ 출시",㈜네이쳐아일랜드가 반려동물 전용 프리미엄 냄새제거제 신제품 ‘블루센스’를 개발 및 판매한다. ‘블루센스’ 탈취제는 반려동물을 키우면서 발생하는 악취에 대한 흔적과 냄새를 손쉽게 제거할 수 있는 제품으로 탈취제를 분무하는 순간 악취분자를 흡...,http://www.koreadognews.co.kr/news/view.php?no=1123
